,index,School,City,Zip Code,Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),End of Year Promotion (%),American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Grade Levels,County,School Type,Anthem,Avondale,Buckeye,Chandler,El Mirage,Fountain Hills,Gila Bend,Gilbert,Glendale,Goodyear,Highley,Laveen,Mesa,Peoria,Phoenix,Queen Creek,Scottsdale,Surprise,Tempe,Tolleson,Tonopah,Wickenburg
0,0,Boulder Creek High School,Anthem,85086,2375,17.0,29.0,36.0,18.0,26.0,30.0,25.0,19.0,99.05,12,37,38,347,4,1832,105,1244,1131,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Great Hearts Academies - Anthem Prep,Anthem,85034,1029,12.0,19.0,46.0,23.0,10.0,18.0,37.0,34.0,99.12,2,86,16,157,0,688,80,469,560,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Agua Fria High School,Avondale,85323,1653,40.0,29.0,23.0,8.0,52.0,28.0,16.0,3.0,98.69,14,31,177,1184,6,201,39,817,835,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,Arizona Agribusiness & Equine Center - Estrella,Avondale,85323,412,11.0,18.0,47.0,23.0,18.0,21.0,29.0,21.0,99.75,2,25,16,209,0,138,22,179,233,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,E-institute at Avondale,Avondale,85201,872,63.0,22.0,13.0,2.0,68.0,26.0,6.0,1.0,74.56,0,5,1,47,1,119,11,112,72,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Estrella High School,Avondale,85323,112,91.0,3.0,6.0,0.0,91.0,9.0,0.0,0.0,82.01,2,1,18,79,2,8,3,53,60,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,La Joya Community High School,Avondale,85323,2078,53.0,28.0,16.0,3.0,49.0,30.0,18.0,3.0,97.29,22,21,188,1694,5,98,50,1069,1009,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,Westview High School,Avondale,85392,1864,45.0,31.0,20.0,5.0,52.0,30.0,16.0,2.0,95.3,25,43,220,1316,10,173,77,949,915,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,Buckeye Union High School,Buckeye,85326,1778,45.0,29.0,22.0,5.0,43.0,29.0,21.0,7.0,99.71,28,4,122,1164,12,419,26,937,838,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,15,Odyssey Institute for Advanced and International Studies,Buckeye,85326,1762,35.0,26.0,31.0,8.0,51.0,24.0,18.0,7.0,99.94,15,29,112,753,9,756,87,869,892,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,Skyview High School,Buckeye,85326,174,76.0,12.0,12.0,0.0,86.0,11.0,3.0,0.0,84.12,2,0,19,106,0,41,7,99,76,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17,Verrado High School,Buckeye,85396,1854,27.0,27.0,34.0,13.0,36.0,28.0,26.0,10.0,98.84,11,36,108,863,5,755,76,955,899,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,21,Youngker High School,Buckeye,85326,2107,37.0,29.0,27.0,7.0,42.0,26.0,23.0,10.0,99.8,19,15,192,1369,9,452,43,1028,1071,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,22,Arizona College Prep,Chandler,85249,1767,1.0,6.0,34.0,58.0,5.0,8.0,21.0,66.0,100.0,8,565,69,260,7,731,135,939,836,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,23,Az Compass Prep School,Chandler,85225,247,55.0,25.0,19.0,2.0,73.0,18.0,9.0,0.0,98.47,62,2,78,64,0,26,15,150,97,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,24,Basha High School,Chandler,85249,2797,8.0,21.0,42.0,30.0,12.0,21.0,29.0,39.0,98.59,40,308,133,494,9,1685,145,1461,1353,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,Basis Chandler,Chandler,85248,1147,4.0,10.0,52.0,34.0,3.0,9.0,29.0,60.0,99.47,2,935,46,38,2,96,27,607,539,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,27,Bogle Junior High School,Chandler,85248,1141,25.0,20.0,37.0,19.0,37.0,21.0,20.0,22.0,99.21,31,92,78,370,6,503,71,603,548,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,29,Chandler High School,Chandler,85225,3580,28.0,28.0,33.0,12.0,38.0,30.0,20.0,12.0,97.94,77,132,371,2013,25,804,175,1827,1770,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
