School,City,Public or Private,Zip Code,Mental Health Services(Y/N),Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),Graduation Rate: 2023 (Cohort 2022) (%),Dropout Rate: 2023 (%),End of Year Promotion (%),College or Career Readiness (CCRI) Points,American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Free lunch Eligible,Reduced-price Lunch eligible,Free lunch eligible by Direct Certification,Classroom Teachers (FTE), Student Teacher Ratio,Grade Levels,County,"Phoenix, AZ Metro Area High Schools Ranking - US News"
Boulder Creek High School,"Anthem, AZ",Public,85086,Yes,2375,17,29,36,18,26,30,25,19,95.53,1.16,99.05,19,12,37,38,347,4,1832,105,1244,1131,237,71,103,99.6,23.85,9-12,Maricopa,35
Great Hearts Academies - Anthem Prep,"Anthem, AZ",Public,85034,Yes,1029,12,19,46,23,10,18,37,34,100,1.13,99.12,17,2,86,16,157,0,688,80,469,560,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,58
West-mec Boulder Creek High School,"Anthem, AZ",Public,85086,NaN,464,34,20,34,12,29,30,28,12,NaN,NaN,NaN,NaN,0,0,0,0,0,4,0,2,2,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Agua Fria High School,"Avondale, AZ",Public,85323,NaN,1653,40,29,23,8,52,28,16,3,91.5,2.97,98.69,16.5,14,31,177,1184,6,201,39,817,835,842,181,398,92.3,17.9,9-12,Maricopa,65
Arizona Agribusiness & Equine Center - Estrella,"Avondale, AZ",Public,85323,NaN,412,11,18,47,23,18,21,29,21,100,0.22,99.75,20,2,25,16,209,0,138,22,179,233,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,83
E-institute at Avondale,"Avondale, AZ",Public,85201,NaN,872,63,22,13,2,68,26,6,1,14.43,15.72,74.56,NaN,0,5,1,47,1,119,11,112,72,NaN,NaN,NaN,70.7,2.6,9-12,Maricopa,NaN
Estrella High School,"Avondale, AZ",Public,85323,No,112,91,3,6,0,91,9,0,0,14.12,24.9,82.01,32.8,2,1,18,79,2,8,3,53,60,68,9,47,NaN,NaN,9-12,Maricopa,NaN
La Joya Community High School,"Avondale, AZ",Public,85323,NaN,2078,53,28,16,3,49,30,18,3,85.59,3.55,97.29,16,22,21,188,1694,5,98,50,1069,1009,872,228,449,87.8,23.67,9-12,Maricopa,137
West-mec - Agua Fria High School,"Avondale, AZ",Public,80923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,5,0,2,4,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-mec - La Joya High School,"Avondale, AZ",Public,80923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,1,1,1,2,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West mec- West View High School,"Avondale, AZ",Public,80923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
